safe_instance_id,past_tense_verb_rate,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound,pov_first_rate,pov_second_rate,pov_third_rate,pov_dominant,concreteness_mean,concreteness_coverage,temporal_mention_rate,temporal_mention_count
inst_c8c80bcdbbfb4556_267,0.055,0.054,0.063,0.883,-0.1677,0.025,0.015,0.005,first,3.0368,0.9615,0.055,11
inst_c910b7894a0fc365_268,0.030568,0.043,0.032,0.925,0.3182,0.008734,0.0,0.034934,third,2.8721,0.7887,0.0131,3
inst_216f62fca72f16bf_269,0.056277,0.012,0.193,0.795,-0.9892,0.0,0.0,0.04329,third,3.4697,0.9773,0.017316,4
inst_79919a14a25d55e3_270,0.044355,0.076,0.034,0.891,0.7003,0.0,0.0,0.040323,third,3.1862,1.0,0.020161,5
inst_83110d92ecbe8198_271,0.023904,0.128,0.036,0.835,0.9372,0.031873,0.003984,0.011952,first,3.2078,0.89,0.007968,2
inst_8f8fcdb84b4c4fd2_272,0.028807,0.027,0.212,0.761,-0.9903,0.004115,0.0,0.028807,third,3.1808,0.9775,0.012346,3
inst_a78157a44ff2fb3e_273,0.07234,0.067,0.071,0.862,-0.25,0.0,0.0,0.076596,third,3.4882,0.9785,0.021277,5
inst_4005ceef386a48e9_274,0.032787,0.035,0.066,0.899,-0.3557,0.032787,0.0,0.016393,first,3.2989,0.9737,0.016393,2
inst_1a31c798f0134778_275,0.007843,0.036,0.059,0.904,-0.5707,0.011765,0.0,0.0,first,3.3842,0.9238,0.058824,15
inst_85eca38bd9f6a5f0_276,0.052402,0.013,0.112,0.875,-0.969,0.017467,0.0,0.021834,third,3.1501,0.9577,0.021834,5
inst_147fe05f2a4896f4_277,0.022422,0.153,0.007,0.84,0.9674,0.013453,0.0,0.008969,first,3.0755,0.975,0.017937,4
inst_8e91780911500ae9_278,0.056522,0.088,0.069,0.843,0.25,0.0,0.0,0.06087,third,2.7621,0.9468,0.008696,2
inst_227258c36dd1cec4_279,0.030075,0.125,0.067,0.808,0.807,0.052632,0.037594,0.015038,first,3.4909,0.9825,0.0,0
inst_8ca22bcdcb75f509_280,0.053097,0.122,0.007,0.871,0.9761,0.035398,0.0,0.013274,first,3.4818,0.9307,0.026549,6
inst_65c9a1090e6caaeb_281,0.026316,0.116,0.025,0.859,0.9552,0.004386,0.0,0.0,first,3.1042,0.787,0.017544,4
inst_5a19d0099f0c3f3a_282,0.00813,0.086,0.087,0.827,-0.5187,0.004065,0.0,0.069106,third,2.8287,0.9659,0.00813,2
inst_847f5307a3cdc95d_283,0.029289,0.148,0.033,0.818,0.9802,0.029289,0.004184,0.046025,third,3.0377,0.9419,0.008368,2
inst_336ff147f05f3c75_284,0.09375,0.083,0.037,0.88,0.892,0.0625,0.005208,0.026042,first,3.027,0.9467,0.015625,3
inst_bdc16a34ceb36516_285,0.042194,0.052,0.025,0.923,0.6837,0.0,0.0,0.012658,third,3.1293,0.9462,0.008439,2
inst_edbbc01e3fc00a46_286,0.012766,0.096,0.113,0.791,-0.7662,0.025532,0.021277,0.025532,first,3.0663,0.9368,0.004255,1
inst_03bf3af464ecdb77_287,0.025751,0.081,0.011,0.908,0.9274,0.012876,0.0,0.034335,third,3.3289,0.9231,0.012876,3
inst_df02322d7cbad8df_288,0.051724,0.156,0.056,0.787,0.9652,0.0,0.0,0.021552,third,3.0695,0.9432,0.017241,4
inst_4a6f132a74c3144b_289,0.015748,0.166,0.031,0.802,0.956,0.015748,0.031496,0.023622,second,2.6722,0.9474,0.0,0
inst_ed9b5668fb3a8881_290,0.044643,0.163,0.092,0.745,0.939,0.03125,0.004464,0.040179,third,3.0054,0.9545,0.0,0
inst_703a3723bc25ea30_291,0.025253,0.099,0.012,0.888,0.926,0.0,0.0,0.0,none,3.0859,0.9242,0.015152,3
inst_e09bf1f424b54f77_292,0.04386,0.093,0.027,0.879,0.8712,0.030702,0.0,0.02193,first,3.3598,0.9053,0.004386,1
inst_a6136ed643912f64_293,0.016129,0.113,0.0,0.887,0.9708,0.028226,0.0,0.012097,first,2.8976,0.8333,0.0,0
inst_585ab358f3b9b8b9_294,0.066986,0.051,0.034,0.915,0.25,0.019139,0.0,0.038278,third,3.6223,1.0,0.023923,5
inst_f1daa38d0457554b_295,0.060465,0.035,0.0,0.965,0.6059,0.004651,0.0,0.013953,third,2.9414,0.9474,0.004651,1
inst_f1971dc59b4b3a8e_296,0.045249,0.046,0.121,0.833,-0.9442,0.013575,0.0,0.013575,first,3.3437,0.974,0.036199,8
inst_2c06e07021e0332f_297,0.045977,0.167,0.032,0.801,0.9688,0.022989,0.0,0.04023,third,2.8031,0.96,0.0,0
inst_c37fb60a7f08164e_298,0.012397,0.035,0.006,0.96,0.7003,0.0,0.0,0.03719,third,2.8397,0.875,0.024793,6
inst_7c3bbb784121bca2_299,0.075556,0.134,0.044,0.822,0.9555,0.088889,0.0,0.026667,first,3.3687,0.9882,0.008889,2
inst_06b98fcd3841d59c_300,0.091703,0.174,0.079,0.747,0.9787,0.008734,0.004367,0.100437,third,3.1867,0.9659,0.039301,9
inst_e95fe786605058e3_301,0.022026,0.062,0.108,0.83,-0.8834,0.022026,0.0,0.022026,first,3.2385,1.0,0.008811,2
inst_1d3274889b64c1ee_302,0.078261,0.068,0.142,0.79,-0.9272,0.008696,0.004348,0.017391,third,3.1955,0.9889,0.017391,4
inst_68139b23541d1511_303,0.018018,0.103,0.189,0.707,-0.9674,0.004505,0.0,0.009009,third,3.1163,0.903,0.0,0
inst_998ee881f5ae77d1_304,0.042918,0.035,0.045,0.919,-0.4939,0.0,0.0,0.012876,third,3.192,0.8929,0.030043,7
inst_39fe683e296f1448_305,0.051064,0.093,0.01,0.897,0.8943,0.0,0.0,0.051064,third,3.2018,0.9342,0.051064,12
inst_43c3bbe21a715fd0_306,0.03937,0.031,0.011,0.958,0.6249,0.0,0.0,0.019685,third,3.1788,0.8804,0.019685,5
inst_d2004e8e9de6d59e_307,0.025641,0.139,0.007,0.854,0.9765,0.021368,0.017094,0.017094,first,2.9111,0.9655,0.012821,3
inst_70da33811a04ab78_308,0.047847,0.077,0.048,0.875,0.7182,0.033493,0.009569,0.038278,third,3.6361,1.0,0.004785,1
inst_ed33d426a018c275_309,0.04,0.048,0.093,0.858,-0.3989,0.1,0.0,0.02,first,3.06,1.0,0.02,1
inst_32da76663c988ebe_310,0.049261,0.142,0.012,0.846,0.9674,0.0,0.0,0.034483,third,3.2386,0.9565,0.044335,9
inst_ff9808fdaa371760_311,0.056452,0.051,0.12,0.83,-0.9112,0.032258,0.008065,0.044355,third,3.1594,0.9765,0.0,0
inst_27e35e23ee250994_312,0.063025,0.139,0.0,0.861,0.9851,0.0,0.0,0.046218,third,3.2395,0.988,0.004202,1
inst_1e60153db1a2ac66_313,0.020243,0.116,0.0,0.884,0.9661,0.02834,0.0,0.016194,first,2.9106,0.9341,0.012146,3
inst_9560e3dd073111e6_314,0.0,0.078,0.078,0.845,-0.0129,0.0,0.0,0.086957,third,3.3004,0.9506,0.004348,1
inst_52553dc7f4d9b3d8_315,0.028846,0.089,0.073,0.838,0.6474,0.019231,0.009615,0.019231,first,3.0786,0.9744,0.033654,7
inst_38d62c803c191be1_316,0.034965,0.102,0.0,0.898,0.891,0.020979,0.0,0.013986,first,3.0532,0.9615,0.0,0
inst_1ee855288cff0126_317,0.083333,0.108,0.069,0.823,0.5855,0.015152,0.0,0.083333,third,2.7754,0.9825,0.0,0
inst_b846deacffaee23f_318,0.008658,0.087,0.047,0.866,0.8338,0.0,0.0,0.038961,third,3.0484,1.0,0.025974,6
inst_01d7b7d3a069510a_319,0.044776,0.0,0.0,1.0,0.0,0.0,0.0,0.014925,third,3.2706,0.8571,0.014925,1
inst_7d4967e56c316706_320,0.013216,0.042,0.037,0.92,0.4588,0.0,0.0,0.013216,third,3.0906,0.8718,0.004405,1
inst_d4cc4c2d867456a0_321,0.012245,0.103,0.011,0.887,0.9527,0.0,0.0,0.012245,third,3.2564,0.9551,0.008163,2
inst_87097905bef84090_322,0.044444,0.016,0.101,0.883,-0.9592,0.0,0.0,0.013333,third,3.2884,0.9639,0.008889,2
inst_bd37bb497f29c672_323,0.036585,0.051,0.065,0.885,-0.1796,0.012195,0.012195,0.044715,third,3.2504,0.9423,0.00813,2
inst_8e4a6ea8eda69c25_324,0.066079,0.011,0.041,0.948,-0.6191,0.004405,0.0,0.07489,third,3.4357,1.0,0.013216,3
inst_bc2066042a07623f_325,0.047619,0.034,0.0,0.966,0.7717,0.0,0.0,0.019841,third,3.2,0.9833,0.031746,8
inst_3f854d19f2738d0c_326,0.076596,0.17,0.0,0.83,0.979,0.042553,0.0,0.042553,first,2.8742,0.967,0.012766,3
inst_e0ba08d298774bd0_327,0.03125,0.036,0.133,0.831,-0.9607,0.0,0.0,0.0,none,3.0651,0.9537,0.013393,3
